datetime,symbol,open,high,low,close,volume,vwap,transactions
2024-10-31 15:45:00,MSFT,407.7001,407.76,407.0,407.68,250628.0,407.4077,9842
2024-10-31 15:50:00,MSFT,407.68,407.96,407.19,407.775,400361.0,407.6488,10938
2024-10-31 15:55:00,MSFT,407.775,408.5499,407.775,408.468,344631.0,408.1979,11578
2024-10-31 16:00:00,MSFT,408.44,408.8,408.0,408.78,396170.0,408.4263,12049
2024-10-31 16:05:00,MSFT,408.78,409.3,408.74,409.08,405418.0,409.0036,11198
2024-10-31 16:10:00,MSFT,409.1024,409.2,408.405,409.02,572103.0,408.7604,13313
2024-10-31 16:15:00,MSFT,409.01,409.38,408.81,409.06,249366.0,409.0567,9437
2024-10-31 16:20:00,MSFT,409.1066,409.3,408.1,408.43,287559.0,408.8499,10669
2024-10-31 16:25:00,MSFT,408.43,408.9099,408.17,408.9,418947.0,408.5131,10605
2024-10-31 16:30:00,MSFT,408.875,409.0,408.3,408.545,313499.0,408.7291,9499
2024-10-31 16:35:00,MSFT,408.55,409.43,408.27,409.265,320081.0,408.9296,8928
2024-10-31 16:40:00,MSFT,409.2999,409.93,409.2704,409.86,294085.0,409.543,10169
2024-10-31 16:45:00,MSFT,409.8001,410.72,409.74,410.3,411873.0,410.209,11146
2024-10-31 16:50:00,MSFT,410.325,410.9,410.27,410.701,415351.0,410.5985,10563
2024-10-31 16:55:00,MSFT,410.715,410.8,409.62,409.62,371514.0,410.2597,7853
2024-10-31 17:00:00,MSFT,409.62,409.91,409.4,409.745,304172.0,409.6671,6560
2024-10-31 17:05:00,MSFT,409.7219,409.95,409.62,409.645,174849.0,409.7839,5314
2024-10-31 17:10:00,MSFT,409.62,409.78,409.07,409.1804,239104.0,409.3265,5927
2024-10-31 17:15:00,MSFT,409.17,409.3692,408.8,409.31,265575.0,409.0406,6380
2024-10-31 17:20:00,MSFT,409.305,409.36,408.93,409.14,174337.0,409.1559,5109
2024-10-31 17:25:00,MSFT,409.08,409.27,408.85,408.8694,175976.0,409.0114,5431
2024-10-31 17:30:00,MSFT,408.86,409.06,408.46,408.565,246164.0,408.7307,6364
2024-10-31 17:35:00,MSFT,408.565,409.089,408.44,408.98,253690.0,408.7835,5968
2024-10-31 17:40:00,MSFT,409.0,409.36,408.6363,408.7,231410.0,408.9801,6037
2024-10-31 17:45:00,MSFT,408.705,408.8,408.47,408.72,238612.0,408.62,5732
2024-10-31 17:50:00,MSFT,408.72,408.99,408.23,408.2699,203382.0,408.4716,6174
2024-10-31 17:55:00,MSFT,408.29,408.32,408.01,408.105,192465.0,408.123,5809
2024-10-31 18:00:00,MSFT,408.12,408.31,407.85,407.96,333713.0,408.1069,8960
2024-10-31 18:05:00,MSFT,407.97,408.5,407.95,408.23,283949.0,408.2014,6773
2024-10-31 18:10:00,MSFT,408.23,408.71,408.21,408.66,247012.0,408.4194,6106
2024-10-31 18:15:00,MSFT,408.68,408.87,408.4,408.64,210848.0,408.6507,5806
2024-10-31 18:20:00,MSFT,408.655,408.99,408.54,408.8882,316722.0,408.7914,7302
2024-10-31 18:25:00,MSFT,408.8959,408.8959,408.23,408.545,234666.0,408.5076,6410
2024-10-31 18:30:00,MSFT,408.58,408.92,408.08,408.49,298122.0,408.4709,8225
2024-10-31 18:35:00,MSFT,408.53,408.84,408.3401,408.59,224681.0,408.5729,6071
2024-10-31 18:40:00,MSFT,408.64,409.325,408.57,409.2263,281709.0,408.8677,6823
2024-10-31 18:45:00,MSFT,409.235,409.37,408.89,409.2001,200831.0,409.1197,5520
2024-10-31 18:50:00,MSFT,409.225,409.721365,409.18,409.51,230624.0,409.4688,5912
2024-10-31 18:55:00,MSFT,409.52,409.65,408.88,408.91,300016.0,409.3843,7221
2024-10-31 19:00:00,MSFT,408.96,409.7,408.96,409.68,218486.0,409.3454,5822
2024-10-31 19:05:00,MSFT,409.64,410.02,409.55,409.95,261205.0,409.7949,6071
2024-10-31 19:10:00,MSFT,409.95,410.06,409.45,409.86,256528.0,409.759,6474
2024-10-31 19:15:00,MSFT,409.89,410.6099,409.8,410.5,388086.0,410.1566,7692
2024-10-31 19:20:00,MSFT,410.53,410.915,410.261,410.261,314624.0,410.6739,7679
2024-10-31 19:25:00,MSFT,410.25,410.61,409.85,409.92,493211.0,410.2348,8771
2024-10-31 19:30:00,MSFT,409.91,410.13,409.0,409.16,649672.0,409.7006,9584
2024-10-31 19:35:00,MSFT,409.12,409.88,408.91,409.74,295173.0,409.413,7572
