Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol
2025-09-17 14:30:00-04:00,326.15008544921875,326.260009765625,323.7799987792969,324.0899963378906,180951,0.0,0.0,0.0,VTI
2025-09-17 14:45:00-04:00,324.20001220703125,324.5899963378906,322.7650146484375,324.5899963378906,161694,0.0,0.0,0.0,VTI
2025-09-17 15:00:00-04:00,324.5400085449219,325.7900085449219,324.5,324.6300048828125,160436,0.0,0.0,0.0,VTI
2025-09-17 15:15:00-04:00,324.7200012207031,326.0,324.7200012207031,325.8800048828125,119573,0.0,0.0,0.0,VTI
2025-09-17 15:30:00-04:00,325.69000244140625,325.82000732421875,325.1520080566406,325.5299987792969,227744,0.0,0.0,0.0,VTI
2025-09-17 15:45:00-04:00,325.45001220703125,325.6099853515625,324.8500061035156,325.239990234375,302255,0.0,0.0,0.0,VTI
2025-09-17 16:00:00-04:00,325.16,325.75,325.04,325.47,0,0.0,0.0,0.0,VTI
2025-09-17 16:15:00-04:00,325.16,326.5,325.16,325.61,0,0.0,0.0,0.0,VTI
2025-09-17 16:30:00-04:00,325.75,325.88,325.13,325.64,0,0.0,0.0,0.0,VTI
2025-09-17 16:45:00-04:00,325.63,325.83,325.27,325.65,0,0.0,0.0,0.0,VTI
2025-09-17 17:00:00-04:00,325.28,325.88,325.28,325.83,0,0.0,0.0,0.0,VTI
2025-09-17 17:15:00-04:00,325.83,325.83,325.35,325.77,0,0.0,0.0,0.0,VTI
2025-09-17 17:30:00-04:00,325.77,325.77,325.36,325.42,0,0.0,0.0,0.0,VTI
2025-09-17 17:45:00-04:00,325.5,325.7,325.3712,325.3712,0,0.0,0.0,0.0,VTI
2025-09-17 18:00:00-04:00,325.4,325.69,325.4,325.4,0,0.0,0.0,0.0,VTI
2025-09-17 18:15:00-04:00,325.68,325.88,325.6,325.88,0,0.0,0.0,0.0,VTI
2025-09-17 18:30:00-04:00,325.88,326.16,325.61,326.07,0,0.0,0.0,0.0,VTI
2025-09-17 18:45:00-04:00,325.95,326.07,325.78,326.07,0,0.0,0.0,0.0,VTI
2025-09-17 19:00:00-04:00,326.0688,326.5,325.83,326.2893,0,0.0,0.0,0.0,VTI
2025-09-17 19:15:00-04:00,326.3,326.471,326.07,326.26,0,0.0,0.0,0.0,VTI
2025-09-17 19:30:00-04:00,325.9212,326.5,325.9212,326.27,0,0.0,0.0,0.0,VTI
2025-09-17 19:45:00-04:00,326.13,326.5,326.1,326.45,0,0.0,0.0,0.0,VTI
2025-09-18 04:00:00-04:00,326.54,327.77,325.01,327.77,0,0.0,0.0,0.0,VTI
2025-09-18 04:15:00-04:00,327.65,327.9,327.44,327.9,0,0.0,0.0,0.0,VTI
2025-09-18 04:30:00-04:00,327.9,327.9,327.44,327.44,0,0.0,0.0,0.0,VTI
2025-09-18 04:45:00-04:00,327.44,328.49,327.44,328.31,0,0.0,0.0,0.0,VTI
2025-09-18 05:00:00-04:00,328.31,328.32,328.01,328.32,0,0.0,0.0,0.0,VTI
2025-09-18 05:15:00-04:00,328.32,328.32,328.2,328.24,0,0.0,0.0,0.0,VTI
2025-09-18 05:30:00-04:00,328.25,328.25,328.01,328.01,0,0.0,0.0,0.0,VTI
2025-09-18 05:45:00-04:00,328.0,328.01,327.85,327.85,0,0.0,0.0,0.0,VTI
2025-09-18 06:00:00-04:00,327.52,328.15,327.52,328.15,0,0.0,0.0,0.0,VTI
2025-09-18 06:15:00-04:00,328.15,328.93,328.14,328.14,0,0.0,0.0,0.0,VTI
2025-09-18 06:30:00-04:00,328.39,329.09,328.16,328.39,0,0.0,0.0,0.0,VTI
2025-09-18 06:45:00-04:00,329.09,329.21,327.72,328.5,0,0.0,0.0,0.0,VTI
2025-09-18 07:00:00-04:00,327.73,328.98,327.01,327.99,0,0.0,0.0,0.0,VTI
2025-09-18 07:15:00-04:00,327.99,327.99,327.71,327.92,0,0.0,0.0,0.0,VTI
2025-09-18 07:30:00-04:00,327.95,327.95,327.52,327.55,0,0.0,0.0,0.0,VTI
2025-09-18 07:45:00-04:00,327.55,327.94,327.55,327.88,0,0.0,0.0,0.0,VTI
2025-09-18 08:00:00-04:00,326.49,330.0,325.01,327.91,0,0.0,0.0,0.0,VTI
2025-09-18 08:15:00-04:00,327.56,327.92,327.56,327.7,0,0.0,0.0,0.0,VTI
2025-09-18 08:30:00-04:00,327.68,327.91,327.41,327.41,0,0.0,0.0,0.0,VTI
2025-09-18 08:45:00-04:00,327.47,327.52,325.16,327.09,0,0.0,0.0,0.0,VTI
2025-09-18 09:00:00-04:00,327.02,327.53,326.51,326.75,0,0.0,0.0,0.0,VTI
2025-09-18 09:30:00-04:00,326.92999267578125,326.92999267578125,326.1300048828125,326.1300048828125,257814,0.0,0.0,0.0,VTI
2025-09-18 09:45:00-04:00,326.010009765625,326.94000244140625,325.9200134277344,326.8500061035156,179750,0.0,0.0,0.0,VTI
2025-09-18 10:00:00-04:00,326.8599853515625,327.7099914550781,326.8399963378906,327.6300048828125,207178,0.0,0.0,0.0,VTI
2025-09-18 10:15:00-04:00,327.6700134277344,328.05999755859375,327.6000061035156,328.0400085449219,188622,0.0,0.0,0.0,VTI
2025-09-18 10:30:00-04:00,328.0799865722656,328.2699890136719,327.6000061035156,327.6099853515625,127908,0.0,0.0,0.0,VTI
2025-09-18 10:45:00-04:00,327.55999755859375,327.739990234375,327.1600036621094,327.17999267578125,180620,0.0,0.0,0.0,VTI
2025-09-18 11:00:00-04:00,327.19000244140625,327.4100036621094,327.05999755859375,327.20098876953125,118808,0.0,0.0,0.0,VTI
2025-09-18 11:15:00-04:00,327.2179870605469,327.75,327.1499938964844,327.4100036621094,106361,0.0,0.0,0.0,VTI
2025-09-18 11:30:00-04:00,327.4649963378906,327.74139404296875,327.4649963378906,327.53009033203125,65813,0.0,0.0,0.0,VTI
2025-09-18 11:45:00-04:00,327.55499267578125,327.55499267578125,326.9700012207031,327.17999267578125,93237,0.0,0.0,0.0,VTI
2025-09-18 12:00:00-04:00,327.2135009765625,327.5,327.0899963378906,327.4999084472656,67447,0.0,0.0,0.0,VTI
2025-09-18 12:15:00-04:00,327.4599914550781,327.7099914550781,327.45001220703125,327.67999267578125,85933,0.0,0.0,0.0,VTI
2025-09-18 12:30:00-04:00,327.67999267578125,327.98968505859375,327.6499938964844,327.9599914550781,68491,0.0,0.0,0.0,VTI
2025-09-18 12:45:00-04:00,327.9700012207031,328.0400085449219,327.8800048828125,328.0,68717,0.0,0.0,0.0,VTI
2025-09-18 13:00:00-04:00,327.9800109863281,328.1000061035156,327.8500061035156,327.8999938964844,88961,0.0,0.0,0.0,VTI
2025-09-18 13:15:00-04:00,327.8999938964844,327.9700012207031,327.6300048828125,327.6600036621094,71393,0.0,0.0,0.0,VTI
2025-09-18 13:30:00-04:00,327.6400146484375,327.7200012207031,327.3299865722656,327.4549865722656,74003,0.0,0.0,0.0,VTI
2025-09-18 13:45:00-04:00,327.4313049316406,327.55999755859375,327.239990234375,327.364990234375,71607,0.0,0.0,0.0,VTI
2025-09-18 14:00:00-04:00,327.3399963378906,327.5697937011719,327.239990234375,327.3500061035156,85676,0.0,0.0,0.0,VTI
2025-09-18 14:15:00-04:00,327.35870361328125,327.489990234375,327.3100891113281,327.3399963378906,87206,0.0,0.0,0.0,VTI
2025-09-18 14:30:00-04:00,327.375,327.5,327.1099853515625,327.1600036621094,84000,0.0,0.0,0.0,VTI
2025-09-18 14:45:00-04:00,327.1600036621094,327.7300109863281,327.1300048828125,327.6034851074219,86520,0.0,0.0,0.0,VTI
2025-09-18 15:00:00-04:00,327.6200866699219,327.7099914550781,327.5400085449219,327.54998779296875,82456,0.0,0.0,0.0,VTI
2025-09-18 15:15:00-04:00,327.5502014160156,327.5899963378906,327.32000732421875,327.32000732421875,148678,0.0,0.0,0.0,VTI
2025-09-18 15:30:00-04:00,327.29998779296875,327.40008544921875,327.07000732421875,327.17999267578125,92903,0.0,0.0,0.0,VTI
2025-09-18 15:45:00-04:00,327.159912109375,327.54998779296875,326.9599914550781,327.17999267578125,235828,0.0,0.0,0.0,VTI
2025-09-18 16:00:00-04:00,327.21,327.76,327.07,327.1,0,0.0,0.0,0.0,VTI
2025-09-18 16:15:00-04:00,327.07,327.76,327.07,327.6,0,0.0,0.0,0.0,VTI
2025-09-18 16:30:00-04:00,327.6,327.6,327.47,327.47,0,0.0,0.0,0.0,VTI
2025-09-18 16:45:00-04:00,327.51,327.66,327.47,327.65,0,0.0,0.0,0.0,VTI
2025-09-18 17:00:00-04:00,327.65,327.65,327.48,327.4812,0,0.0,0.0,0.0,VTI
2025-09-18 17:15:00-04:00,327.4813,327.65,327.48,327.4813,0,0.0,0.0,0.0,VTI
